solicitud_id,fecha_solicitud,edad,sector,antiguedad_laboral_anios,antiguedad_empresa_anios,ingreso_mensual,deuda_actual,num_creditos_previos,buro_score,monto_solicitado,plazo_meses,tasa_interes,default_90d
CR-105457,2025-02-22,52,Comercio,29,13.2,2624.45,0.0,0,608.0,20898.97,18,0.1935,0
CR-102550,2024-07-22,20,Servicios,1,5.1,4653.79,2959.24,2,551.0,35676.88,12,0.2315,0
CR-101227,2025-05-02,32,Manufactura,12,9.3,2453.13,947.37,1,679.0,15879.35,18,0.1615,0
CR-105621,2025-04-25,40,Servicios,20,28.0,3770.99,12505.7,3,399.0,12782.58,12,0.2593,1
CR-100079,2025-04-09,35,Comercio,16,11.8,5220.92,6504.58,2,573.0,15757.84,12,0.203,0
CR-103298,2024-06-11,33,Comercio,9,4.7,6638.45,5946.56,1,592.0,47503.55,18,0.1948,0
CR-100605,2023-12-16,44,Comercio,23,4.3,4547.04,15901.34,4,355.0,13109.29,18,0.2568,1
CR-105302,2024-12-29,49,Agro,28,6.6,2222.87,0.0,0,620.0,6739.41,24,0.1975,0
CR-104398,2024-05-21,27,Servicios,6,5.2,6081.5,10972.3,1,532.0,21041.61,48,0.2203,0
CR-101504,2024-09-05,36,Agro,14,7.3,2148.11,902.06,3,655.0,13884.05,18,0.1875,0
CR-101771,2025-03-16,39,Construcción,21,4.7,2709.8,7973.38,2,383.0,16103.47,6,0.2402,1
CR-103649,2025-05-22,39,Manufactura,21,2.4,,0.0,0,717.0,33585.31,36,0.1425,0
CR-103317,2023-08-10,31,Manufactura,10,10.3,2251.42,0.0,0,593.0,8070.47,18,0.1677,0
CR-105905,2025-03-10,35,Comercio,15,13.5,2207.46,4621.6,1,427.0,16139.7,24,0.2449,0
CR-103774,2023-11-06,50,Comercio,31,29.2,15136.7,8781.78,3,792.0,48213.75,6,0.1281,0
CR-102015,2023-08-07,40,Agro,16,5.6,3791.77,0.0,0,615.0,17180.34,18,0.1661,0
CR-100580,2023-03-03,18,Comercio,0,11.9,2834.06,0.0,0,677.0,19788.85,48,0.1787,0
CR-100662,2023-08-06,28,Servicios,4,3.2,,10755.55,2,547.0,44497.4,36,0.2135,0
CR-103554,2024-12-28,48,Comercio,25,10.7,2020.25,5260.29,2,341.0,14947.23,18,0.2608,1
CR-105878,2024-08-10,52,Manufactura,28,12.9,1578.95,0.0,0,639.0,11067.62,12,0.1806,0
CR-105180,2023-11-12,31,Comercio,13,16.1,3743.84,390.95,3,646.0,13350.37,6,0.1826,0
CR-104111,2023-06-25,44,Manufactura,26,8.1,2366.38,4133.97,3,476.0,9299.82,18,0.2268,0
CR-105287,2024-10-05,30,Manufactura,10,13.8,5896.53,1389.63,2,647.0,34541.32,36,0.1677,0
CR-104228,2023-01-06,31,Construcción,13,6.9,3227.5,0.0,0,633.0,9983.99,24,0.1912,0
CR-102639,2023-09-03,32,Manufactura,8,14.6,14833.12,25619.26,2,674.0,105330.54,6,0.1669,0
CR-104712,2024-01-29,50,Servicios,27,5.9,3298.06,6646.29,1,428.0,24123.69,12,0.2493,0
CR-104697,2023-12-06,37,Servicios,13,4.6,6819.19,0.0,0,748.0,13212.87,24,0.1327,0
CR-100727,2023-05-20,46,Comercio,24,12.1,3914.56,3770.86,2,562.0,6066.94,12,0.2048,1
CR-102847,2023-04-23,31,Servicios,7,7.0,1472.29,5603.19,1,308.0,4222.28,24,0.2894,1
CR-103387,2024-05-06,32,Servicios,9,5.7,7977.2,30260.17,1,439.0,49177.77,36,0.2312,0
CR-103858,2023-12-07,34,Servicios,11,13.2,4717.97,332.96,1,721.0,18377.6,12,0.1571,0
CR-104831,2024-01-13,18,Servicios,0,7.1,4906.86,0.0,0,647.0,14463.17,6,0.1629,0
CR-100268,2023-07-04,39,Manufactura,19,7.4,3071.36,10120.85,1,324.0,13164.6,24,0.2827,1
CR-105685,2025-04-11,19,Comercio,0,1.0,3262.71,4211.03,1,528.0,19528.64,6,0.2205,0
CR-103354,2023-12-22,34,Comercio,10,7.3,2986.06,3267.41,3,536.0,13809.34,12,0.2519,0
CR-103168,2024-04-25,28,Comercio,8,3.7,1770.09,3000.54,1,400.0,10140.49,24,0.2694,0
CR-102067,2023-12-11,38,Manufactura,14,9.3,2571.74,2630.55,3,482.0,10885.52,24,0.2172,0
CR-101309,2025-03-31,34,Servicios,15,8.9,3539.58,0.0,0,693.0,11416.1,12,0.1856,0
CR-105333,2023-04-27,57,Construcción,33,2.8,,4291.44,1,412.0,12236.94,18,0.2498,1
CR-102624,2024-11-10,32,Manufactura,10,9.7,3678.08,0.0,0,691.0,13697.61,12,0.1766,0
CR-101758,2025-03-20,27,Manufactura,5,1.7,5404.79,18957.52,1,301.0,33413.01,48,0.2704,1
CR-101947,2024-04-27,28,Servicios,9,8.1,8568.58,13035.94,1,532.0,51140.94,48,0.2136,0
CR-101773,2024-04-21,57,Tecnología,38,5.7,2512.12,1721.69,2,,13041.77,6,0.1915,0
CR-103305,2025-02-10,44,Manufactura,20,5.2,4889.98,17569.35,2,318.0,19765.78,12,0.2496,1
CR-101070,2024-02-03,36,Manufactura,14,2.5,5744.71,2228.41,5,607.0,41905.42,18,0.2061,0
CR-100573,2023-03-16,28,Comercio,7,7.1,3298.37,12865.03,4,300.0,14307.46,6,0.2817,0
CR-101892,2024-06-24,25,Construcción,3,1.3,6519.41,3707.22,2,,17915.95,36,0.2089,0
CR-101933,2024-07-27,52,Comercio,30,3.9,747.84,0.0,0,547.0,5586.25,36,0.2003,0
CR-100147,2023-03-19,36,Comercio,17,0.9,3136.77,4403.32,2,536.0,7837.39,36,0.2071,0
CR-103073,2023-09-17,46,Comercio,24,9.5,6191.53,22495.99,4,353.0,27460.73,18,0.2702,1
CR-103510,2024-10-03,44,Comercio,24,2.4,1750.92,2558.55,2,437.0,8236.29,6,0.23,0
CR-100308,2023-07-03,44,Tecnología,23,8.1,1295.46,2636.84,1,436.0,9377.75,24,0.2326,0
CR-100745,2024-02-09,48,Agro,26,8.5,7733.33,20715.49,1,563.0,44429.58,36,0.1851,0
CR-100169,2024-10-14,38,Manufactura,17,10.8,3973.5,15398.37,2,300.0,10297.14,6,0.2858,1
CR-100623,2023-08-08,31,Servicios,10,7.6,3369.34,0.0,0,630.0,18900.91,24,0.1742,0
CR-105701,2024-06-04,51,Servicios,27,6.2,4293.56,0.0,0,703.0,20506.25,18,0.1434,0
CR-103304,2024-05-05,72,Servicios,48,5.2,3831.59,3555.12,1,541.0,10457.13,18,0.2001,0
CR-104828,2023-02-16,52,Comercio,28,17.1,3142.02,4139.11,3,553.0,20056.53,24,0.1978,0
CR-105551,2024-09-05,36,Comercio,16,11.2,2183.73,5382.54,2,400.0,10237.38,18,0.2542,0
CR-103997,2025-04-30,35,Agro,15,9.4,2573.92,0.0,0,675.0,7352.58,12,0.1732,0
CR-100385,2023-12-12,29,Manufactura,9,3.6,974.37,0.0,0,606.0,5737.88,18,0.1911,0
CR-105313,2023-06-22,36,Manufactura,17,8.8,4605.32,0.0,0,699.0,14177.25,18,0.1428,0
CR-103924,2023-03-15,38,Tecnología,14,3.6,2558.82,0.0,0,579.0,16517.73,6,0.2182,0
CR-103248,2024-10-21,48,Construcción,24,7.4,5046.25,17170.13,1,325.0,31184.62,18,0.287,0
CR-100636,2024-08-29,36,Tecnología,14,7.2,6047.37,17858.69,2,438.0,14984.43,18,0.2439,0
CR-100729,2023-03-09,26,Comercio,4,12.3,2731.53,8579.72,1,388.0,17232.48,48,0.2745,0
