fecha,ticker,precio_cierre,volumen
2021-01-04,TCH,152.03,576673
2021-01-05,TCH,152.86,480180
2021-01-06,TCH,153.54,301107
2021-01-07,TCH,155.34,706539
2021-01-08,TCH,152.04,319359
2021-01-11,TCH,153.07,534725
2021-01-12,TCH,154.23,413837
2021-01-13,TCH,160.28,503182
2021-01-14,TCH,154.46,450374
2021-01-15,TCH,153.46,1014387
2021-01-18,TCH,155.06,590519
2021-01-19,TCH,157.64,382993
2021-01-20,TCH,157.14,408896
2021-01-21,TCH,156.28,443565
2021-01-22,TCH,155.74,376624
2021-01-25,TCH,159.85,266247
2021-01-26,TCH,159.82,1011216
2021-01-27,TCH,157.87,643329
2021-01-28,TCH,156.24,340594
2021-01-29,TCH,154.25,482309
2021-02-01,TCH,156.69,734429
2021-02-02,TCH,159.89,371857
2021-02-03,TCH,155.17,215327
2021-02-04,TCH,153.85,317877
2021-02-05,TCH,155.52,276253
2021-02-08,TCH,156.33,433493
2021-02-09,TCH,155.59,262969
2021-02-10,TCH,158.06,621984
2021-02-11,TCH,162.19,478457
2021-02-12,TCH,160.22,581294
2021-02-15,TCH,155.79,562311
2021-02-16,TCH,155.63,285892
2021-02-17,TCH,152.71,181480
2021-02-18,TCH,154.78,619761
2021-02-19,TCH,152.03,333407
2021-02-22,TCH,157.6,584911
2021-02-23,TCH,154.46,420119
2021-02-24,TCH,154.23,479347
2021-02-25,TCH,154.88,645094
2021-02-26,TCH,153.17,323622
2021-03-01,TCH,152.77,330528
2021-03-02,TCH,153.42,757946
2021-03-03,TCH,158.95,641394
2021-03-04,TCH,160.05,522418
2021-03-05,TCH,160.35,257848
2021-03-08,TCH,164.11,406474
2021-03-09,TCH,166.25,291905
2021-03-10,TCH,170.11,343239
2021-03-11,TCH,167.67,319247
2021-03-12,TCH,163.48,290295
2021-03-15,TCH,168.74,439306
2021-03-16,TCH,170.39,310035
2021-03-17,TCH,168.84,366348
2021-03-18,TCH,165.66,315183
2021-03-19,TCH,164.52,746664
2021-03-22,TCH,170.32,485929
2021-03-23,TCH,166.69,540570
2021-03-24,TCH,172.46,419266
2021-03-25,TCH,170.74,436520
2021-03-26,TCH,170.82,485921
2021-03-29,TCH,170.99,811152
2021-03-30,TCH,171.55,687986
2021-03-31,TCH,167.05,461088
2021-04-01,TCH,174.83,303863
2021-04-02,TCH,177.25,580319
2021-04-05,TCH,180.04,365892
2021-04-06,TCH,180.5,370814
2021-04-07,TCH,181.48,410502
2021-04-08,TCH,183.14,469094
2021-04-09,TCH,184.44,652715
2021-04-12,TCH,181.65,297840
2021-04-13,TCH,179.66,550091
2021-04-14,TCH,182.99,391965
2021-04-15,TCH,187.83,1500798
2021-04-16,TCH,185.3,419195
2021-04-19,TCH,184.66,679840
2021-04-20,TCH,183.91,887908
2021-04-21,TCH,187.0,295945
2021-04-22,TCH,186.69,439480
2021-04-23,TCH,185.73,540939
2021-04-26,TCH,183.24,310202
2021-04-27,TCH,186.52,376559
2021-04-28,TCH,186.44,394741
2021-04-29,TCH,185.52,608637
2021-04-30,TCH,185.39,848313
2021-05-03,TCH,190.98,410534
2021-05-04,TCH,192.1,301924
2021-05-05,TCH,197.56,1055026
2021-05-06,TCH,194.37,555653
2021-05-07,TCH,195.05,607471
2021-05-10,TCH,194.84,226333
2021-05-11,TCH,204.61,232161
2021-05-12,TCH,204.84,382645
2021-05-13,TCH,201.88,558946
2021-05-14,TCH,203.36,447500
2021-05-17,TCH,205.57,345760
2021-05-18,TCH,211.61,283462
2021-05-19,TCH,210.34,621529
2021-05-20,TCH,215.67,544205
2021-05-21,TCH,216.56,342336
2021-05-24,TCH,218.82,428531
2021-05-25,TCH,221.78,317814
2021-05-26,TCH,221.77,314664
2021-05-27,TCH,216.37,479865
2021-05-28,TCH,217.48,996523
2021-05-31,TCH,215.82,499248
2021-06-01,TCH,211.67,558828
2021-06-02,TCH,212.64,397797
2021-06-03,TCH,209.31,403402
2021-06-04,TCH,210.21,563078
2021-06-07,TCH,210.67,486487
2021-06-08,TCH,210.25,548979
2021-06-09,TCH,206.93,276283
2021-06-10,TCH,202.03,421897
2021-06-11,TCH,202.96,440739
2021-06-14,TCH,207.81,561305
2021-06-15,TCH,211.0,512113
2021-06-16,TCH,206.46,333693
2021-06-17,TCH,205.22,696292
2021-06-18,TCH,204.47,761908
2021-06-21,TCH,200.11,351668
2021-06-22,TCH,198.22,299040
2021-06-23,TCH,195.02,335702
2021-06-24,TCH,200.82,338920
2021-06-25,TCH,201.73,440661
2021-06-28,TCH,207.36,673870
2021-06-29,TCH,208.57,426157
2021-06-30,TCH,214.22,715064
2021-07-01,TCH,209.12,859855
2021-07-02,TCH,214.19,666558
2021-07-05,TCH,214.0,655102
2021-07-06,TCH,213.74,633372
2021-07-07,TCH,217.89,454513
2021-07-08,TCH,217.84,285872
2021-07-09,TCH,219.98,700607
2021-07-12,TCH,216.62,623846
2021-07-13,TCH,224.42,252136
2021-07-14,TCH,221.4,409382
2021-07-15,TCH,217.35,441304
2021-07-16,TCH,214.11,377543
2021-07-19,TCH,209.55,649473
2021-07-20,TCH,202.96,612635
2021-07-21,TCH,203.44,588954
2021-07-22,TCH,199.19,409268
2021-07-23,TCH,196.86,328444
2021-07-26,TCH,189.62,732153
2021-07-27,TCH,195.21,308891
2021-07-28,TCH,197.15,249401
2021-07-29,TCH,190.01,411490
2021-07-30,TCH,189.52,415473
2021-08-02,TCH,188.99,485589
2021-08-03,TCH,188.57,616154
2021-08-04,TCH,189.92,644649
2021-08-05,TCH,184.93,580817
2021-08-06,TCH,181.8,358572
2021-08-09,TCH,180.23,457844
2021-08-10,TCH,182.04,437933
2021-08-11,TCH,180.98,824483
2021-08-12,TCH,181.76,300192
2021-08-13,TCH,177.82,360439
2021-08-16,TCH,175.58,943332
2021-08-17,TCH,177.94,766775
2021-08-18,TCH,179.78,450052
2021-08-19,TCH,180.86,411771
2021-08-20,TCH,183.53,641460
2021-08-23,TCH,185.58,680515
2021-08-24,TCH,183.97,442143
2021-08-25,TCH,185.94,965952
2021-08-26,TCH,186.47,418754
2021-08-27,TCH,185.71,477708
2021-08-30,TCH,184.53,809586
2021-08-31,TCH,188.19,419403
2021-09-01,TCH,190.85,914944
2021-09-02,TCH,189.36,605971
2021-09-03,TCH,187.19,347747
2021-09-06,TCH,185.53,802224
2021-09-07,TCH,188.17,364166
2021-09-08,TCH,184.97,280382
2021-09-09,TCH,184.73,447402
2021-09-10,TCH,187.0,347989
2021-09-13,TCH,188.55,400114
2021-09-14,TCH,190.26,369885
2021-09-15,TCH,185.3,314572
2021-09-16,TCH,186.74,230173
2021-09-17,TCH,184.35,612619
2021-09-20,TCH,182.97,567323
2021-09-21,TCH,177.99,565203
2021-09-22,TCH,181.29,494164
2021-09-23,TCH,183.22,312845
2021-09-24,TCH,181.15,522498
2021-09-27,TCH,182.57,348334
2021-09-28,TCH,185.3,330737
2021-09-29,TCH,189.67,202889
2021-09-30,TCH,191.68,658175
2021-10-01,TCH,190.19,326143
2021-10-04,TCH,186.68,565472
2021-10-05,TCH,194.21,259385
2021-10-06,TCH,193.15,330211
2021-10-07,TCH,193.21,702326
2021-10-08,TCH,194.81,628188
2021-10-11,TCH,198.1,732433
2021-10-12,TCH,197.65,368613
2021-10-13,TCH,201.31,290844
2021-10-14,TCH,211.03,529172
2021-10-15,TCH,210.24,236283
2021-10-18,TCH,212.69,347277
2021-10-19,TCH,209.49,327404
2021-10-20,TCH,208.35,811729
2021-10-21,TCH,205.74,341058
2021-10-22,TCH,202.21,473317
2021-10-25,TCH,198.79,262653
2021-10-26,TCH,204.05,676176
2021-10-27,TCH,210.73,590392
2021-10-28,TCH,215.99,374740
2021-10-29,TCH,215.85,662173
2021-11-01,TCH,219.45,779828
2021-11-02,TCH,214.4,370654
2021-11-03,TCH,204.45,693505
2021-11-04,TCH,203.51,440905
2021-11-05,TCH,204.51,257860
2021-11-08,TCH,203.78,514285
2021-11-09,TCH,204.82,359624
2021-11-10,TCH,205.34,264372
2021-11-11,TCH,203.89,483828
2021-11-12,TCH,202.54,517667
2021-11-15,TCH,204.17,979639
2021-11-16,TCH,211.12,419005
2021-11-17,TCH,209.91,269811
2021-11-18,TCH,215.18,369739
2021-11-19,TCH,212.88,674416
2021-11-22,TCH,210.42,947488
2021-11-23,TCH,214.04,630939
2021-11-24,TCH,220.55,526074
2021-11-25,TCH,216.92,372986
2021-11-26,TCH,209.84,361726
2021-11-29,TCH,208.65,542499
2021-11-30,TCH,213.77,482922
2021-12-01,TCH,215.48,237495
2021-12-02,TCH,209.28,268998
2021-12-03,TCH,207.23,402157
2021-12-06,TCH,208.43,452826
2021-12-07,TCH,212.92,345456
2021-12-08,TCH,212.05,509077
2021-12-09,TCH,214.79,492032
2021-12-10,TCH,217.91,518220
2021-12-13,TCH,218.62,629214
2021-12-14,TCH,217.97,285511
2021-12-15,TCH,220.95,465030
2021-12-16,TCH,219.53,480929
2021-12-17,TCH,217.42,585269
2021-12-20,TCH,211.96,440950
2021-12-21,TCH,203.05,315281
2021-12-22,TCH,198.3,431601
2021-12-23,TCH,198.31,437665
2021-12-24,TCH,203.09,454975
2021-12-27,TCH,204.75,787980
2021-12-28,TCH,209.68,351433
2021-12-29,TCH,209.07,490763
2021-12-30,TCH,210.44,211043
2021-12-31,TCH,208.7,316923
2022-01-03,TCH,200.97,360286
2022-01-04,TCH,196.68,383810
2022-01-05,TCH,194.69,667318
2022-01-06,TCH,195.78,664113
2022-01-07,TCH,190.81,200727
2022-01-10,TCH,192.15,405070
2022-01-11,TCH,193.66,660222
2022-01-12,TCH,188.67,488594
2022-01-13,TCH,191.1,419090
2022-01-14,TCH,190.54,367575
2022-01-17,TCH,185.81,136129
2022-01-18,TCH,185.84,445223
2022-01-19,TCH,182.02,222839
2022-01-20,TCH,185.9,404810
2022-01-21,TCH,179.97,736958
2022-01-24,TCH,183.17,564539
2022-01-25,TCH,188.71,307516
2022-01-26,TCH,193.65,463164
2022-01-27,TCH,198.02,744638
2022-01-28,TCH,196.53,396787
2022-01-31,TCH,196.5,526375
2022-02-01,TCH,197.16,522250
2022-02-02,TCH,192.84,467586
2022-02-03,TCH,195.63,385188
2022-02-04,TCH,198.02,1090230
2022-02-07,TCH,199.35,820242
2022-02-08,TCH,193.81,464120
2022-02-09,TCH,196.59,389918
2022-02-10,TCH,198.15,535445
2022-02-11,TCH,195.31,979892
2022-02-14,TCH,195.56,507691
2022-02-15,TCH,201.25,680904
2022-02-16,TCH,203.67,319652
2022-02-17,TCH,208.63,542839
2022-02-18,TCH,215.28,834929
2022-02-21,TCH,214.21,672074
2022-02-22,TCH,213.08,752900
2022-02-23,TCH,213.31,412597
2022-02-24,TCH,205.38,364781
2022-02-25,TCH,209.06,673938
2022-02-28,TCH,210.68,337020
2022-03-01,TCH,207.9,812929
2022-03-02,TCH,207.09,668785
2022-03-03,TCH,202.16,967636
2022-03-04,TCH,206.24,368637
2022-03-07,TCH,206.39,304149
2022-03-08,TCH,208.61,587300
2022-03-09,TCH,208.91,496206
2022-03-10,TCH,215.47,305067
2022-03-11,TCH,211.57,614693
2022-03-14,TCH,208.04,899632
2022-03-15,TCH,203.38,910088
2022-03-16,TCH,206.62,430929
2022-03-17,TCH,199.44,269240
2022-03-18,TCH,193.15,345549
2022-03-21,TCH,191.01,306474
2022-03-22,TCH,194.41,326400
2022-03-23,TCH,197.33,487780
2022-03-24,TCH,193.5,319524
2022-03-25,TCH,187.04,227105
2022-03-28,TCH,193.02,303094
2022-03-29,TCH,191.29,801372
2022-03-30,TCH,194.36,596160
2022-03-31,TCH,197.51,291650
2022-04-01,TCH,193.87,548686
2022-04-04,TCH,192.47,445454
2022-04-05,TCH,195.47,397562
2022-04-06,TCH,194.87,392846
2022-04-07,TCH,189.97,762588
2022-04-08,TCH,189.73,310385
2022-04-11,TCH,188.25,479453
2022-04-12,TCH,191.65,368358
2022-04-13,TCH,194.33,268078
2022-04-14,TCH,190.89,669799
2022-04-15,TCH,191.48,738927
2022-04-18,TCH,185.5,459346
2022-04-19,TCH,182.45,636024
2022-04-20,TCH,187.93,363663
2022-04-21,TCH,188.34,598485
2022-04-22,TCH,193.24,437940
2022-04-25,TCH,194.48,330735
2022-04-26,TCH,196.83,421414
2022-04-27,TCH,197.25,442654
2022-04-28,TCH,190.36,536889
2022-04-29,TCH,191.95,170756
2022-05-02,TCH,196.5,375150
2022-05-03,TCH,199.51,720416
2022-05-04,TCH,192.57,424634
2022-05-05,TCH,195.68,265925
2022-05-06,TCH,195.32,664077
2022-05-09,TCH,193.92,559803
2022-05-10,TCH,192.85,323595
2022-05-11,TCH,193.1,258840
2022-05-12,TCH,190.43,588400
2022-05-13,TCH,190.54,382031
2022-05-16,TCH,192.88,137011
2022-05-17,TCH,194.31,272586
2022-05-18,TCH,196.39,381009
2022-05-19,TCH,201.81,908362
2022-05-20,TCH,202.0,589931
2022-05-23,TCH,204.29,236836
2022-05-24,TCH,202.65,331752
2022-05-25,TCH,204.14,786336
2022-05-26,TCH,205.62,278819
2022-05-27,TCH,202.35,589861
2022-05-30,TCH,200.69,313367
2022-05-31,TCH,197.16,379012
2022-06-01,TCH,197.82,215061
2022-06-02,TCH,197.72,394624
2022-06-03,TCH,201.68,392014
2022-06-06,TCH,204.48,379301
2022-06-07,TCH,205.57,979693
2022-06-08,TCH,208.51,618232
2022-06-09,TCH,210.72,313910
2022-06-10,TCH,214.58,299825
