fecha,categoria,region,unidades_vendidas,precio_promedio,ingresos
2023-01-01,Laptops,Norte,58,1368.88,79395.04
2023-01-02,Laptops,Norte,40,1438.92,57556.8
2023-01-03,Laptops,Norte,40,1438.88,57555.2
2023-01-04,Laptops,Norte,38,1431.52,54397.76
2023-01-05,Laptops,Norte,46,1410.45,64880.7
2023-01-06,Laptops,Norte,29,1538.28,44610.12
2023-01-07,Laptops,Norte,35,1337.06,46797.1
2023-01-08,Laptops,Norte,50,1385.48,69274.0
2023-01-09,Laptops,Norte,43,1222.59,52571.37
2023-01-10,Laptops,Norte,36,1423.13,51232.68
2023-01-11,Laptops,Norte,34,1332.52,45305.68
2023-01-12,Laptops,Norte,39,1391.34,54262.26
2023-01-13,Laptops,Norte,35,1343.39,47018.65
2023-01-14,Laptops,Norte,32,1382.87,44251.84
2023-01-15,Laptops,Norte,55,1404.3,77236.5
2023-01-16,Laptops,Norte,42,1344.89,56485.38
2023-01-17,Laptops,Norte,50,1415.95,70797.5
2023-01-18,Laptops,Norte,38,1364.48,51850.24
2023-01-19,Laptops,Norte,42,1348.87,56652.54
2023-01-20,Laptops,Norte,31,1439.15,44613.65
2023-01-21,Laptops,Norte,40,1409.41,56376.4
2023-01-22,Laptops,Norte,50,1273.14,63657.0
2023-01-23,Laptops,Norte,41,1371.46,56229.86
2023-01-24,Laptops,Norte,53,1325.82,70268.46
2023-01-25,Laptops,Norte,47,1486.45,69863.15
2023-01-26,Laptops,Norte,35,1343.04,47006.4
2023-01-27,Laptops,Norte,27,1350.48,36462.96
2023-01-28,Laptops,Norte,49,1397.38,68471.62
2023-01-29,Laptops,Norte,52,1428.81,74298.12
2023-01-30,Laptops,Norte,58,1347.27,78141.66
2023-01-31,Laptops,Norte,55,1405.13,77282.15
2023-02-01,Laptops,Norte,46,1412.98,64997.08
2023-02-02,Laptops,Norte,41,1280.73,52509.93
2023-02-03,Laptops,Norte,31,1426.45,44219.95
2023-02-04,Laptops,Norte,46,1359.49,62536.54
2023-02-05,Laptops,Norte,43,1314.86,56538.98
2023-02-06,Laptops,Norte,51,1518.57,77447.07
2023-02-07,Laptops,Norte,48,1334.62,64061.76
2023-02-08,Laptops,Norte,35,1446.61,50631.35
2023-02-09,Laptops,Norte,38,1426.93,54223.34
2023-02-10,Laptops,Norte,30,1280.28,38408.4
2023-02-11,Laptops,Norte,42,1342.81,56398.02
2023-02-12,Laptops,Norte,49,1318.71,64616.79
2023-02-13,Laptops,Norte,50,1456.66,72833.0
2023-02-14,Laptops,Norte,38,1448.62,55047.56
2023-02-15,Laptops,Norte,42,1504.05,63170.1
2023-02-16,Laptops,Norte,47,1326.92,62365.24
2023-02-17,Laptops,Norte,38,1557.07,59168.66
2023-02-18,Laptops,Norte,38,1458.73,55431.74
2023-02-19,Laptops,Norte,41,1508.83,61862.03
2023-02-20,Laptops,Norte,60,1405.07,84304.2
2023-02-21,Laptops,Norte,55,1375.65,75660.75
2023-02-22,Laptops,Norte,44,1336.41,58802.04
2023-02-23,Laptops,Norte,40,1482.49,59299.6
2023-02-24,Laptops,Norte,37,1386.43,51297.91
2023-02-25,Laptops,Norte,40,1387.26,55490.4
2023-02-26,Laptops,Norte,58,1473.62,85469.96
2023-02-27,Laptops,Norte,51,1452.39,74071.89
2023-02-28,Laptops,Norte,71,1381.66,98097.86
2023-03-01,Laptops,Norte,34,1405.82,47797.88
2023-03-02,Laptops,Norte,33,1416.04,46729.32
2023-03-03,Laptops,Norte,34,1401.07,47636.38
2023-03-04,Laptops,Norte,33,1478.27,48782.91
2023-03-05,Laptops,Norte,41,1433.07,58755.87
2023-03-06,Laptops,Norte,56,1374.97,76998.32
2023-03-07,Laptops,Norte,55,1486.51,81758.05
2023-03-08,Laptops,Norte,41,1354.27,55525.07
2023-03-09,Laptops,Norte,28,1390.04,38921.12
2023-03-10,Laptops,Norte,31,1381.04,42812.24
2023-03-11,Laptops,Norte,42,1369.76,57529.92
2023-03-12,Laptops,Norte,54,1375.5,74277.0
2023-03-13,Laptops,Norte,52,1464.11,76133.72
2023-03-14,Laptops,Norte,43,1402.09,60289.87
2023-03-15,Laptops,Norte,47,1517.04,71300.88
2023-03-16,Laptops,Norte,39,1362.26,53128.14
2023-03-17,Laptops,Norte,40,1356.4,54256.0
2023-03-18,Laptops,Norte,33,1307.29,43140.57
2023-03-19,Laptops,Norte,59,1307.02,77114.18
2023-03-20,Laptops,Norte,38,1344.62,51095.56
2023-03-21,Laptops,Norte,58,1341.76,77822.08
2023-03-22,Laptops,Norte,52,1358.01,70616.52
2023-03-23,Laptops,Norte,43,1408.85,60580.55
2023-03-24,Laptops,Norte,44,1341.5,59026.0
2023-03-25,Laptops,Norte,39,1513.88,59041.32
